	Genus	Category
1	Acidiella	Saprotroph
2	Acremonium	Plant Pathogen
3	Acrodontium	Plant Pathogen
4	Aequabiliella	Plant Pathogen
5	Albifimbria	Animal Pathogen
6	Albugo	Plant Pathogen
7	Alternaria	Plant Pathogen
8	Amorosia	Saprotroph
9	Amphisphaeria	Saprotroph
10	Anamylopsora	Lichenized
11	Anguillospora	Misc Fungus
12	Anzia	Lichenized
13	Aphanoascus	Saprotroph
14	Aquaphila	Saprotroph
15	Arthopyrenia	Lichenized
16	Arthrobotrys	Saprotroph
17	Ascochyta	Plant Pathogen
18	Ascosphaera	Animal Pathogen
19	Aspergillus	Animal Pathogen
20	Aureobasidium	Animal Pathogen
21	Azcozonus	Misc Fungus
22	Bacillicladium	Misc Fungus
23	Bagnisiella	Saprotroph
24	Blumeria	Plant Pathogen
25	Boeremia	Plant Pathogen
26	Botryosphaeria	Plant Pathogen
27	Bradymyces	Animal Pathogen
28	Buellia	Lichenized
29	Capnobotryella	Saprotroph
30	Capronia	Plant Associated
31	Cenococcum	Plant Associated
32	Cephaliophora	Animal Pathogen
33	Cephalotheca	Saprotroph
34	Cercosporella	Plant Pathogen
35	Chaetomium	Saprotroph
36	Chlamydosauromyces	Saprotroph
37	Chorioactis	Plant Associated
38	Cladophialophora	Saprotroph
39	Cladosporium	Animal Pathogen
40	Clonostachys	Plant Pathogen
41	Coccocarpia	Lichenized
42	Colletotrichum	Plant Pathogen
43	Collophora	Plant Pathogen
44	Combea	Lichenized
45	Coniosporium	Animal Pathogen
46	Corynespora	Saprotroph
47	Cryomyces	Misc Fungus
48	Dactylella	Saprotroph
49	Delitschia	Saprotroph
50	Diaporthe	Animal Pathogen
51	Diatrypasimilis	Plant Associated
52	Dictyocatenulata	Lichenized
53	Didymella	Animal Pathogen
54	Digitothyrea	Lichenized
55	Dimelaena	Lichenized
56	Dissoconium	Saprotroph
57	Dothiora	Plant Pathogen
58	Drechslerella	Saprotroph
59	Eladia	Saprotroph
60	Elaphomyces	Plant Associated
61	Elasticomyces	Misc Fungus
62	Eleutherascus	Saprotroph
63	Epichloe	Plant Associated
64	Eremascus	Saprotroph
65	Erysiphe	Plant Pathogen
66	Exophiala	Animal Pathogen
67	Friedmanniomyces	Misc Fungus
68	Fusarium	Animal Pathogen
