	Crop
Mielichhoferia	0
Racomitrium	0
Lyellia	0
Pogonatum	0
Pottia	0
Syntrichia	0
Tetraplodon	0
Aponogeton	0
Butomus	0
Hydrilla	0
Najas	0
Orontium	0
Potamogeton	0
Spirodela	0
Tofieldia	0
Zantedeschia	0
Cnidium	0
Daucus	0
Panax	1
Ilex	0
Aphandra	1
Balaka	0
Borassus	1
Calyptrocalyx	0
Caryota	0
Chamaerops	0
Chambeyronia	0
Elaeis	1
Hydriastele	0
Iriartea	0
Manicaria	0
Nypa	0
Phoenix	0
Phytelephas	0
Ravenea	0
Sabal	0
Trithrinax	0
Washingtonia	0
Agapanthus	0
Allium	1
Androstephium	0
Anemarrhena	0
Aphyllanthes	0
Asparagus	1
Beaucarnea	0
Behnia	0
Blandfordia	0
Bowiea	0
Cephalanthera	0
Corallorhiza	0
Cordyline	0
Dasylirion	0
Dendrobium	0
Dichelostemma	0
Doryanthes	0
Echeandia	0
Eriospermum	0
Eucharis	0
Haworthia	0
Isophysis	0
Kniphofia	0
Lanaria	0
Ledebouria	0
Liriope	0
Lycoris	0
Muscari	0
Oncidium	0
Phalaenopsis	0
Phormium	0
Polianthes	1
Rhodohypoxis	0
Scadoxus	0
Trichopetalum	0
Triteleia	0
Wullschlaegelia	0
Xanthorrhoea	0
Xeronema	0
Ambrosia	0
Antennaria	0
Artemisia	0
Dahlia	0
Diaspasis	0
Diplostephium	0
Goodenia	0
Helianthus	1
Heliopsis	0
Hymenopappus	0
Lactuca	0
Liatris	0
Nymphoides	0
Platycodon	0
Ratibida	0
Rudbeckia	0
Senecio	0
Thelesperma	0
Tragopogon	0
Austrobaileya	0
Ehretia	0
Oreocarya	0
Arabidopsis	0
Arabis	0
Brassica	1
Carica	1
Conringia	0
Lepidium	0
Salvadora	0
Schrenkiella	0
Tarenaya	0
Thlaspi	0
Cinnamodendron	0
Takhtajania	0
Amaranthus	0
Beta	1
Chenopodium	1
Delosperma	0
Ercilla	0
Fallopia	0
Halophytum	0
Limonium	0
Persicaria	0
Reynoutria	0
Rheum	1
Rumex	0
Sarcobatus	0
Silene	0
Canotia	0
Dicarpellum	0
Lepuropetalon	0
Mortonia	0
Parnassia	0
Plagiopteron	0
Stackhousia	0
Tripterococcus	0
Zinowiewia	0
Ceratophyllum	0
Anigozanthos	0
Eichhornia	0
Anisophyllea	0
Begonia	0
Citrullus	1
Corallocarpus	0
Coriaria	0
Cucumis	1
Datisca	0
Ecballium	0
Lagenaria	0
Marah	0
Octomeles	0
Symbegonia	0
Tetrameles	0
Xerosicyos	0
Aletris	0
Apteria	0
Burmannia	0
Cymbocarpa	0
Dioscorea	1
Gymnosiphon	0
Haplothismia	0
Hexapterella	0
Lophiola	0
Metanarthecium	0
Tacca	0
Dipsacus	0
Actinidia	0
Androsace	0
Arbutus	0
Calluna	0
Camellia	1
Ceratiola	0
Chamaedaphne	0
Clethra	0
Cosmelia	0
Cyrilla	0
Dracophyllum	0
Gaultheria	0
Gilia	0
Impatiens	0
Maesa	0
Manilkara	1
Monotropastrum	0
Prionotes	0
Rhododendron	0
Schima	0
Styrax	0
Vaccinium	1
Ammopiptanthus	0
Apios	0
Arachis	1
Astragalus	0
Cajanus	1
Chamaecrista	0
Cicer	1
Erythrina	0
Glycine	1
Ladeania	0
Lupinus	0
Medicago	0
Mezoneuron	0
Phaseolus	1
Polygala	0
Senna	0
Vigna	1
Wisteria	0
Zenia	0
Betula	0
Carya	1
Fagus	0
Nothofagus	0
Quercus	0
Garrya	0
Asclepias	0
Calotropis	0
Eustoma	0
Exochaenium	0
Luculia	0
Neolamarckia	0
Ophiorrhiza	0
Pentas	0
Psychotria	0
Pycnosphaera	0
Rhazya	0
Rogiera	0
Schinziella	0
Schultesia	0
Spigelia	0
Voyria	0
Voyriella	0
Geranium	0
Perrottetia	0
Tapiscia	0
Nothapodytes	0
Andrographis	0
Avicennia	0
Calceolaria	0
Conopholis	0
Dorcoceras	0
Erythranthe	0
Fraxinus	0
Hesperelaea	0
Lindernia	0
Mazus	0
Melampyrum	0
Monarda	0
Nepeta	0
Olea	1
Paulownia	0
Perilla	1
Phryma	0
Phtheirospermum	0
Pogostemon	0
Rehmannia	0
Salvia	0
Schizonepeta	0
Schlegelia	0
Scrophularia	0
Sesamum	1
Tectona	0
Teucrium	0
Torenia	0
Utricularia	0
Beilschmiedia	0
Cassytha	0
Cinnamomum	0
Cryptocarya	0
Doryphora	0
Hedycarya	0
Hortonia	0
Palmeria	0
Persea	1
Calochortus	0
Campynema	0
Colchicum	0
Corsia	0
Gloriosa	0
Lilium	0
Petermannia	0
Rhipogonum	0
Trillium	0
Horsfieldia	0
Knema	0
Myristica	1
Bhesa	0
Calophyllum	0
Carallia	0
Endospermum	0
Euphorbia	0
Flacourtia	1
Hevea	0
Humiria	0
Hypericum	0
Ixonanthes	0
Jatropha	0
Linum	0
Parinari	0
Plukenetia	1
Populus	0
Quiina	0
Ricinus	0
Rinorea	0
Tristellateia	0
Viola	0
Anisoptera	0
Aquilaria	0
Callirhoe	0
Gossypium	0
Grewia	0
Hibiscus	0
Sphaeralcea	0
Eucalyptus	0
Oenothera	0
Osbeckia	0
Psidium	0
Punica	1
Sonneratia	0
Trapa	0
Nymphaea	0
Afrostyrax	0
Averrhoa	0
Connarus	0
Elaeocarpus	0
Hua	0
Oxalis	0
Platytheca	0
Acanthochlamys	0
Andruris	0
Carludovica	0
Freycinetia	0
Kihansia	0
Ludovia	0
Pandanus	0
Pentastemona	0
Sciaphila	0
Seychellaria	0
Stemona	0
Talbotia	0
Triuris	0
Paracryphia	0
Piper	0
Saruma	0
Aegilops	0
Alloteropsis	0
Ananas	1
Brachiaria	0
Brachypodium	0
Cenchrus	0
Chasechloa	0
Ecdeiocolea	0
Elegia	0
Guzmania	0
Hordeum	1
Mayaca	0
Oropetium	0
Oryza	1
Saccharum	1
Sorghum	1
Sparganium	0
Sporobolus	0
Triticum	1
Zea	1
Macadamia	0
Nelumbo	0
Persoonia	0
Petrophile	0
Aconitum	0
Actaea	0
Aquilegia	0
Cissampelos	0
Coptis	0
Corydalis	0
Coscinium	0
Fibraurea	0
Ranunculus	0
Sanguinaria	0
Archiboehmeria	0
Boehmeria	0
Ceanothus	0
Cecropia	0
Droguetia	0
Ficus	0
Forsskaolea	0
Fragaria	1
Malus	1
Morus	1
Myriocarpa	0
Neodistemon	0
Parietaria	0
Pellionia	0
Pilea	0
Pipturus	0
Prunus	1
Pyrus	1
Rosa	0
Rubus	1
Sarcomphalus	0
Urera	0
Ziziphus	1
Anthobolus	0
Antidaphne	0
Benthamina	0
Berhautia	0
Cecarria	0
Cervantesia	0
Chaunochiton	0
Choretrum	0
Comandra	0
Dactylanthus	0
Decaisnina	0
Diogoa	0
Dulacia	0
Ileostylus	0
Jodina	0
Lepidoceras	0
Lepionurus	0
Leptomeria	0
Loranthus	0
Loxanthera	0
Malania	0
Nuytsia	0
Octoknema	0
Olax	0
Oliverella	0
Omphacomeria	0
Oncella	0
Ongokea	0
Osyridicarpos	0
Pentarhopalopilia	0
Phragmanthera	0
Ptychopetalum	0
Rhoiacarpos	0
Schoepfia	0
Scorodocarpus	0
Septulina	0
Strombosiopsis	0
Taxillus	0
Thesium	0
Anacardium	1
Biebersteinia	0
Citrus	1
Litchi	1
Mangifera	1
Nitraria	0
Xanthoceras	0
Aphanopetalum	0
Crassula	0
Myriophyllum	0
Mytilaria	0
Paeonia	0
Proserpinaca	0
Rhodoleia	0
Capsicum	1
Convolvulus	0
Evolvulus	0
Ipomoea	1
Nicotiana	0
Schizanthus	0
Solanum	1
Sphenoclea	0
Withania	0
Leea	0
Tetrastigma	0
Vitis	1
Costus	0
Curcuma	1
Hedychium	0
Musa	1
Orchidantha	0
Riedelia	0
Larrea	0
Mylia	0
Preissia	0
Neohodgsonia	0
Cheilolejeunea	0
Lejeunea	0
Treubia	0
Acrostichum	0
Adiantum	0
Azolla	0
Picea	0
Pinus	0
Carpoglyphus	0
Stomacarus	0
Tetranychus	0
InvQuercu	0
Lasioseius	0
Zoysia	0
Hemileius	0
Scheloribates	0
Oulenziella	0
Crotonia	0
Canestrinia	0
Paralycus	0
Platynothrus	0
Oribatula	0
InvBrassic	0
InvBet	0
Panonychus	0
Onthophagus	0
Terpnacarus	0
Penthaleus	0
Macrocheles	0
Rostrozetes	0
Sellea	0
Czenspinskia	0
Eupelops	0
Unguizetes	0
Nehypochthonius	0
Protoribates	0
Archegozetes	0
Demodex	0
Prototritia	0
Dermatophagoides	0
Haplochthonius	0
Eniochthonius	0
Oripoda	0
Picidectes	0
Lardoglyphus	0
Pergamasus	0
Oryzomyopus	0
Tortonia	0
Phorytocarpais	0
Histiostomatidae	0
Cerophagus	0
Kanoetus	0
Gamasiphis	0
Histiostoma	0
Ctenacarus	0
Cosmochthonius	0
Cosmoglyphus	0
Myobia	0
Rhizoglyphus	0
Malaconothrus	0
Cyrthermannia	0
Rhysotritia	0
Trhypochthonius	0
Musicodamon	0
Euphrynichus	0
Mecysmauchenius	0
Draconarius	0
Nephila	0
Talaus	0
Xysticus	0
Araneoidea	0
Microdipoena	0
Neoscona	0
Araneus	0
Pardosa	0
Oxyopes	0
Stiphropus	0
Alcimochthes	0
Mecaphesa	0
Thomisidae	0
Tegenaria	0
Stegodyphus	0
Palpimanus	0
Xyphinus	0
Weintrauboa	0
Tridysderina	0
Trachelas	0
Anelosimus	0
Rahavavy	0
Theromaster	0
Fahrenholzia	0
Austropsopilio	0
Prionostemma	0
Fissiphallius	0
Sycophaga	0
Fangensis	0
Zootermopsis	0
Leiobunidae	0
Mesobuthus	0
Callipallene	0
Ammothella	0
Artemia	0
Chydorus	0
Jassa	0
Anchialina	0
Eriocheir	0
Paramesopodopsis	0
Holmesimysis	0
Reighardia	0
Tigriopus	0
Daphnia	0
Orchesella	0
Anurida	0
Isotomurus	0
Pogonognathellus	0
Crossodonthina	0
Sminthurus	0
Dactylopius	0
Fannia	0
Alloteratura	0
Blattella	0
Valgus	0
Triatoma	0
Sarcophaga	0
Trabutina	0
Maconellicoccus	0
Mycetophagus	0
Anisochrysa	0
Myrmecopterina	0
Sitodiplosis	0
Signiphora	0
Aonidiella	0
Perola	0
Pyrrhocoris	0
Holoparamecus	0
Thaumatomyia	0
Sephena	0
Homalodisca	0
Trioza	0
Xenanastatus	0
Cycloneda	0
Ornithoica	0
Drosophila	0
Bactrocera	0
Blattidae	0
Gargara	0
Hemerobius	0
Hartigia	0
Pieris	0
Sphyrometopa	0
Pharaxonotha	0
Musca	0
Microcentrum	0
Beameromyia	0
Heterogaster	0
Platyscapa	0
Frankliniella	0
Lagriinae	0
Glossina	0
Dryadaula	0
Gimantis	0
Ptyssoptera	0
Sceptuchus	0
Spondyliaspidinae	0
Notaris	0
Psychomora	0
Mylassa	0
Conura	0
Holochlora	0
Megalurothrips	0
Pteroptrix	0
Apis	0
Mayetiola	0
Leptothorax	0
Pristoderus	0
Samia	0
Cleonymus	0
Demarziella	0
Scolia	0
Monacon	0
Orthodera	0
Perthiola	0
Dastarcus	0
Pseudanaphothrips	0
Agapytho	0
Clastoptera	0
Spalangiopelta	0
Ferrisia	0
Papilio	0
Ceratosolen	0
Chilo	0
Oreogeton	0
Lipocalliini	0
Extatosoma	0
Petipirene	0
Ommatius	0
Anastrepha	0
Aphis	0
Eretmocerus	0
Eurytoma	0
Lipolexis	0
Xylocopa	0
Ceratitis	0
Ormenis	0
Aidos	0
Trichogramma	0
Chiletricha	0
Truxalis	0
Haematobia	0
Sciobia	0
Thrips	0
Eulaema	0
Bolitophila	0
Nasutitermes	0
Polistes	0
Dalcerides	0
Cirrospilus	0
Languria	0
Loxostege	0
Monochamus	0
Boros	0
Leptacinus	0
Oxytelus	0
Caprithrips	0
Myllaena	0
Frieseomelitta	0
Barbitistes	0
Platydecticus	0
Carausius	0
Veronatus	0
Elasmostethus	0
Aphelinus	0
Tanaocerus	0
Orasema	0
Lipara	0
Anchomenus	0
Georissus	0
Phaloria	0
Stenotarsus	0
Ruspolia	0
Anchastus	0
Scaralis	0
Pegesimallus	0
Acanthocasuarina	0
Trox	0
Eudarcia	0
Exorista	0
Microplitis	0
Spissistilus	0
Bemisia	0
Plutella	0
Omus	0
Graminella	0
Saropogon	0
Hermetia	0
Noia	0
Bombyx	0
Rhopalotria	0
Cryptogonus	0
Xyela	0
Leptopilina	0
Urodontus	0
Poecilomerus	0
Euryischomyia	0
Udeocoris	0
Ayyaria	0
Hoplistomerus	0
Diaphorina	0
Nephrotoma	0
Allenhyphes	0
Car	0
Leucospis	0
Elimaea	0
Rhyzobius	0
Dendroxena	0
Catonia	0
Coptodactyla	0
Atacamacris	0
Chironomus	0
Ormyrulus	0
Arachnophaga	0
Liposcelis	0
Opomydas	0
Tessaratoma	0
Stiphrolamyra	0
Hemigephyra	0
Perasis	0
Spelobia	0
Mycetina	0
Callicentrus	0
Conocephalus	0
Fulgoridae	0
Nephus	0
Sericoderus	0
Carpophilus	0
Meropathus	0
Hypothenemus	0
Drusilla	0
Tetraopes	0
Anaphothrips	0
Atractomorpha	0
Caccobius	0
Epirinus	0
Saphobius	0
Ateuchus	0
Paronthobium	0
Scarabaeus	0
Helictopleurus	0
Sarophorus	0
Scybalocanthon	0
Phalops	0
Megathoposoma	0
Anachalcos	0
Saphophagus	0
Anthonomus	0
Dryophthorus	0
Ocladius	0
Megauchenia	0
Holcocephala	0
Dirhinus	0
Dinoponera	0
Diphetor	0
Episyrphus	0
Lonchoptera	0
Aedes	0
Molobratia	0
Afroestricus	0
Laphystia	0
Prorates	0
Pelmatosilpha	0
Cartodere	0
Willistonina	0
Sphaeropsocidae	0
Lucilia	0
Phytomyza	0
InvPhaseolu	0
Caliothrips	0
Siphanta	0
Holotrichapion	0
Chlamydatus	0
Sphenophorus	0
Anagrus	0
Hypodacnella	0
Anascirtothrips	0
Trigonotylus	0
Proboscidoplocia	0
Belgica	0
Diplocoelus	0
Tettigonia	0
Urolabida	0
Nyctibora	0
Meilichius	0
Thyreus	0
Trochoideus	0
Minettia	0
Paracercopis	0
Indalmus	0
Leptataspis	0
Acricotopus	0
