	PlantAssocRich	PlantPathRich	AniPathRich	SaproRich	LichenRich	MiscFungRich	MycoRich	CropRich	PlantRich	AntiFungRich	DietRich
BG0602	4	5	22	23	1	8	63	26	119	38	132
BG0702	3	7	12	27	5	9	63	19	87	34	114
BG0716	1	6	14	8	1	1	31	13	42	19	57
BG0728	1	10	21	15	2	7	56	27	131	44	161
BP0701	3	8	19	14	3	7	54	29	156	52	183
BP0719	2	14	18	14	1	4	53	36	166	62	182
CK0702	1	9	18	17	3	13	61	30	156	48	186
CK0705	4	25	20	20	5	12	86	25	133	50	163
CK0713	5	5	10	13	0	6	39	15	53	23	59
CK0717	2	10	18	14	1	5	50	20	96	37	127
LM0708	3	5	16	12	1	8	45	22	75	32	89
LM0709	3	4	19	12	1	14	53	28	189	59	220
LM0710	5	10	30	21	3	10	79	27	122	47	156
LM0711	5	12	18	13	5	13	66	29	170	52	216
LM0716	8	14	26	20	5	16	89	28	166	49	223
MK0710	5	8	20	26	1	10	70	9	48	20	74
MK0713	5	13	20	21	3	8	70	12	48	21	75
MK0718	16	40	38	56	11	31	192	26	121	45	130
MK0727	6	19	25	33	5	12	100	14	55	20	83
MK0729	2	8	16	14	3	9	52	17	84	30	117
PL0703	1	0	9	9	0	3	22	9	33	14	34
PL0708	2	6	17	13	1	5	44	32	137	48	149
PL0710	0	3	13	6	0	7	29	17	66	27	68
PU0601	2	4	8	12	0	5	31	6	17	9	25
PU0612	3	8	13	14	2	4	44	8	22	10	34
PU0614	4	12	14	15	3	16	64	8	29	12	34
PU0733	0	5	19	12	0	5	41	12	43	18	67
PU0754	3	11	23	12	1	11	61	18	48	20	68
PU0756	0	5	19	9	0	4	37	16	39	19	65
PU0791	6	12	22	18	2	8	68	13	37	17	67
TK0601	2	9	20	25	1	8	65	30	127	46	143
TK0702	0	8	22	11	0	7	48	21	95	31	106
TK0704	3	12	18	15	0	7	55	18	100	38	113
TK0705	3	10	21	22	2	7	65	37	156	56	188
TK0711	3	7	21	17	2	6	56	25	138	43	176
TK0712	1	10	18	19	1	5	54	29	134	50	148
TK0713	0	6	15	11	0	7	39	19	57	25	73
UL0708	0	3	13	5	0	1	22	16	59	22	71
UL0718	2	2	9	5	2	1	21	23	116	41	120
UL0720	0	3	15	4	0	5	27	28	111	36	123
PU0725B	0	0	5	1	0	0	6	4	13	6	19
PU0737B	0	3	5	4	1	1	14	5	12	7	24
AN0716	9	12	16	22	3	12	74	12	32	13	51
AS0701b	0	3	18	6	0	5	32	25	107	37	119
AS0702	4	4	12	8	0	7	35	14	53	23	76
BG0710A	1	1	6	7	1	0	16	13	37	18	45
BG0715	0	1	13	2	1	3	20	8	39	11	54
BG0727	1	12	12	10	1	1	37	25	121	42	151
BG0736	8	13	22	21	2	19	85	24	135	48	161
BP0717	1	2	7	6	1	3	20	44	249	74	279
BT0701	9	20	26	34	4	22	115	9	23	12	33
CK0707	6	19	22	29	6	20	102	24	126	42	159
CK0708A	3	14	19	14	3	6	59	21	107	40	130
LM0705	1	3	18	9	1	5	37	7	40	13	43
MK0721	8	8	17	20	3	11	67	20	102	33	143
MK0725	24	41	32	70	12	34	213	20	112	39	140
PL0702A	1	4	19	12	1	5	42	20	81	31	93
PU0718A	1	1	8	1	0	2	13	10	28	12	42
PU0723A	0	0	11	2	0	2	15	4	22	8	32
PU0724	1	5	18	11	1	3	39	6	14	7	36
PU0726	1	2	6	1	0	0	10	3	17	4	42
PU0740A	6	14	25	27	3	17	92	7	22	11	57
TK0706	1	9	18	11	0	2	41	22	72	33	94
UL0722	0	1	12	8	0	3	24	9	33	14	36
