	X06USA2	X06MRA	X06BTG	X07MRA	X07MRK	X07OUTB	X07OUTF	X07OUTK	X07OUTM	X07OUTP	X07OUTX	X07MRE	X07MRF	X07MRG	X07BTE	X07BTI	X07OUTJ	X07BTK	X07USB3	X07USE	X07BBB	X07BBC	X07BBD	X07BBE	X07BBG	X07BBI	X07BBJ	X07USG	X07APA	X07APB	X07APC	X07LPA	X07LPB	X07LPC	X07LPF	X07WWB	X07WWF	X0724USC	X07USF	X07USH	X08BTAA	X08BTA	X08BTF2	X0715USCA	X03BB	O4AP	X0415OUT2	X0416OUT2A	X0417OUT	X05BB	X06OUTD	X0712BTA	X0713BTA	X0715BTA	X07BBA	X0718BBJ	X07BBL	X07LPE	X07USA	X07WWA	X07WWE	X08BTU	X08BTY
Encalypta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fontinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
Lyellia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pogonatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	71	46	0	0	0	0	0	0	0	0	20	0	0	38	10	0	0	0	16	0	0	0	0	350	0	0	0	0	0	0	0
Syntrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Timmia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnetum	0	0	0	0	60	0	0	0	59	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2747	0	1428	252	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
Selaginella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aponogeton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0
Butomus	0	36	10	259	0	2318	45	27	0	530	0	131	0	0	6	0	0	0	0	0	60	22	15	17	0	0	0	14	0	0	0	68	119	86	5567	31	34	1597	0	6	0	114	90	0	159	61	54	41	46	0	57	28	166	11	0	1355	415	0	0	0	41	796	0
Hydrilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	17	6
Najas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8	0	7	0	0	0	0	0	0	0	6	0	0	0	0	78	0	0	0	0	37	10	0
Orontium	926	4532	2368	109006	47176	6385	31406	10396	2769	41	17	4421	9580	2285	141	317	37	0	65	0	20	0	0	0	0	0	0	6906	604	414	206	0	0	351	105	150	4756	1368	376	0	0	0	0	447	41451	545	268456	923	3144	0	65	321	4636	333	4240	2405	956	0	70	0	4011	24	24
Ottelia	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pleea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Posidonia	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	7	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Potamogeton	0	7	0	133	0	89	0	29	0	0	0	0	0	0	14	0	0	0	0	0	21	0	39	13	0	0	0	12	0	0	0	37	204	136	0	9	15	0	0	34	0	0	90	0	10	49	10	34	0	0	76	0	0	0	0	1294	0	0	0	0	64	0	0
Spirodela	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	175	0	0	40	0	0	0	0	0	0	11	0	0	6	0	0	0	0	7	0	0	0	6	0	0	0	0	39	0
Tofieldia	0	7	31	104	116	25	8	43	9	94	8	125	0	0	29	0	27	0	0	0	0	0	16	0	0	0	0	0	0	0	0	14	34	153	230	0	0	16	0	0	0	0	0	10	13	8	12	0	0	43	0	0	0	19	81	0	25	0	0	0	6	13	0
Zantedeschia	6	12	671	433	12	2350	38	41	0	341	25	750	2098	9	23	0	0	84	145	19	66	63	43	492	13	27	29	39	0	0	0	0	11	12	3903	0	26	1124	0	77	30	45	429	1517	99	40	89	398	157	82	38	208	81	361	119	1048	220	0	0	0	49	429	7
Zostera	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
Amborella	0	0	0	0	65	0	0	130	521	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	77	0	37	11	0	0	0	22	24	191	0	0	0	0	0	0	0	0	0	0	138	15	18
Cicuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnidium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	26	0	0	23	0	0	0	0	0	0	0	0	12	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conium	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	22	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daucus	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Panax	0	3229	116	359	181	521	217	78	47946	887	2062	669	506	68	1739	10	7927	0	0	0	0	0	0	0	0	0	0	38	0	16	0	268	3161	17495	161	0	0	48	0	0	6	11	11	23	1039	93	7896	56	3223	231	0	0	0	0	44	52	16	0	0	0	0	0	0
Ilex	40	0	13	46	0	54	23	10	5930	0	13281	17	10	17	76	96	0	0	0	15	0	0	0	0	0	0	0	0	99	59	33	78	29302	52	48	113	132	0	0	0	0	0	9	23	0	0	0	918	0	13	0	0	15	0	0	0	0	0	103	0	0	75	0
Aphandra	33	0	7	0	313	0	48	0	0	0	0	0	10	9	7	0	0	0	6	0	0	0	0	0	0	0	0	203	6	0	0	0	0	6	0	0	88	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	103	11	69	0	17	0	0	0	49	0	0
Borassus	0	0	0	0	0	20	0	0	0	0	0	29	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	9	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
Calyptrocalyx	12	0	213	0	17	0	0	0	0	0	0	0	7	0	54	10	0	46	16	25	11	0	6	6	0	8	0	14	0	0	0	0	0	0	0	0	0	0	0	0	24	0	16	17	78	46	0	0	0	93	0	429	55	958	210	13	0	0	0	0	12	21	9
Caryota	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
