	X06USA2	X06MRA	X06BTG	X07MRA	X07MRK	X07OUTB	X07OUTF	X07OUTK	X07OUTM	X07OUTP	X07OUTX	X07MRE	X07MRF	X07MRG	X07BTE	X07BTI	X07OUTJ	X07BTK	X07USB3	X07USE	X07BBB	X07BBC	X07BBD	X07BBE	X07BBG	X07BBI	X07BBJ	X07USG	X07APA	X07APB	X07APC	X07LPA	X07LPB	X07LPC	X07LPF	X07WWB	X07WWF	X0724USC	X07USF	X07USH	X08BTAA	X08BTA	X08BTF2	X0715USCA	X03BB	O4AP	X0415OUT2	X0416OUT2A	X0417OUT	X05BB	X06OUTD	X0712BTA	X0713BTA	X0715BTA	X07BBA	X0718BBJ	X07BBL	X07LPE	X07USA	X07WWA	X07WWE	X08BTU	X08BTY
Acidiella	0	0	16	6	0	71	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acremonium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acrodontium	0	0	0	0	20	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	39	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	61	0	11
Aequabiliella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	11	50	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	14	0	19	0	0	196	0	0	11	0	0
Aigialus	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Albifimbria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Aliquandostipite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0
Alternaria	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	19	0	0	0	0	0	0	0	0	10	0	30	0	0	0	0	0	0	0
Amorosia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Amphisphaeria	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaptychia	0	0	7	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Anzia	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphanoascus	0	0	0	0	145	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	9	0	0	0	0	50	0	0	0	0	13	48	0	0	0	0	0	6	0	0
Aquaphila	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	24	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9	0	0	1168	0	0	0	0	0
Arthrobotrys	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0
Ascochyta	0	0	0	0	14	7	0	0	0	0	0	0	16	0	0	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	6	0	0	23	0	12	0	12	0	0	0	0	0	0
