	Genus	Category
1	Acidiella	Saprotroph
2	Acremonium	Plant Pathogen
3	Acrodontium	Plant Pathogen
4	Aequabiliella	Plant Pathogen
5	Aigialus	Misc Fungus
6	Albifimbria	Animal Pathogen
7	Aliquandostipite	Saprotroph
8	Alternaria	Plant Pathogen
9	Amorosia	Saprotroph
10	Amphisphaeria	Saprotroph
11	Anaptychia	Lichenized
12	Anzia	Lichenized
13	Aphanoascus	Saprotroph
14	Aquaphila	Saprotroph
15	Arthrobotrys	Saprotroph
16	Ascochyta	Plant Pathogen
17	Aspergillus	Animal Pathogen
18	Asteroma	Plant Pathogen
19	Aureobasidium	Animal Pathogen
20	Azcozonus	Misc Fungus
21	Bacillicladium	Misc Fungus
22	Blumeria	Plant Pathogen
23	Boeremia	Plant Pathogen
24	Botryosphaeria	Plant Pathogen
25	Bradymyces	Animal Pathogen
26	Buellia	Lichenized
27	Caliciopsis	Plant Pathogen
28	Capnobotryella	Saprotroph
29	Cenococcum	Plant Associated
30	Cercosporella	Plant Pathogen
31	Chaetomium	Saprotroph
32	Chlamydosauromyces	Saprotroph
33	Chorioactis	Plant Associated
34	Cladophialophora	Saprotroph
35	Cladosporium	Animal Pathogen
36	Coccidioides	Animal Pathogen
37	Colletotrichum	Plant Pathogen
38	Collophora	Plant Pathogen
39	Combea	Lichenized
40	Corynespora	Saprotroph
41	Cryomyces	Misc Fungus
42	Cryphonectria	Plant Pathogen
43	Cyphellophora	Animal Pathogen
44	Dactylella	Saprotroph
45	Delitschia	Saprotroph
46	Diaporthe	Animal Pathogen
47	Diatrypasimilis	Plant Associated
48	Dictyocatenulata	Lichenized
49	Didymella	Animal Pathogen
50	Digitothyrea	Lichenized
51	Diploschistes	Lichenized
52	Donadinia	Saprotroph
53	Dothiora	Plant Pathogen
54	Elasticomyces	Misc Fungus
55	Embellisia	Plant Pathogen
56	Endosporium	Saprotroph
57	Epichloe	Plant Associated
58	Erysiphe	Plant Pathogen
59	Exophiala	Animal Pathogen
60	Friedmanniomyces	Misc Fungus
61	Fusicladium	Plant Pathogen
62	Glarea	Saprotroph
63	Golovinomyces	Plant Pathogen
64	Graphis	Lichenized
65	Hamigera	Saprotroph
66	Harpidium	Lichenized
67	Helicascus	Misc Fungus
68	Heliocephala	Misc Fungus
