	HUMAN	ANTI_P	ANTI_H	ANTI_F	ANTI_B
Encalypta	0	0	0	0	0
Fontinalis	0	0	0	0	1
Lyellia	0	0	0	0	0
Pogonatum	1	0	0	0	0
Syntrichia	0	0	0	1	1
Timmia	0	0	0	0	0
Gnetum	1	0	0	1	1
Selaginella	1	0	0	0	1
Aponogeton	1	0	0	0	0
Butomus	0	0	0	0	0
Hydrilla	1	0	0	0	1
Najas	0	0	0	0	0
Orontium	0	0	0	0	0
Ottelia	1	0	0	0	0
Pleea	0	0	0	0	0
Posidonia	1	1	0	1	1
Potamogeton	0	0	0	1	1
Spirodela	1	0	1	1	1
Tofieldia	0	0	0	0	0
Zantedeschia	1	0	0	0	1
Zostera	0	0	0	0	1
Amborella	1	1	0	0	1
Cicuta	0	0	0	0	0
Cnidium	1	1	1	1	1
Conium	1	1	0	1	1
Daucus	1	0	0	1	1
Panax	1	1	0	1	1
Ilex	1	0	0	1	1
Aphandra	0	0	0	0	0
Borassus	1	1	1	1	1
Calyptrocalyx	0	0	0	0	0
Caryota	1	0	0	1	1
Chamaerops	1	0	0	0	0
Elaeis	1	1	0	1	1
Hydriastele	0	0	0	0	0
Manicaria	0	0	0	0	0
Nypa	1	0	0	0	1
Ravenea	0	0	0	0	0
Sabal	0	0	0	0	0
Thrinax	0	0	0	0	0
Trithrinax	0	0	0	0	0
Washingtonia	1	0	0	0	0
Agapanthus	1	0	0	1	0
Allium	1	1	1	1	1
Androstephium	0	0	0	0	0
Aphyllanthes	1	0	0	0	0
Asparagus	1	1	0	1	1
Beaucarnea	0	0	0	0	0
Behnia	1	0	0	0	0
Blandfordia	0	0	0	0	0
Bowiea	1	0	1	1	1
Corallorhiza	1	0	0	0	0
Dendrobium	1	0	0	0	0
Dichelostemma	0	0	0	0	0
Doryanthes	0	0	0	0	0
Echeandia	0	0	0	0	0
Eriospermum	0	0	0	0	0
Eucharis	0	0	0	0	0
Gilliesia	0	0	0	0	0
Haworthia	0	0	0	0	0
Iris	1	0	0	0	0
Ixiolirion	1	0	0	1	0
Lanaria	0	0	0	0	0
Ledebouria	0	0	0	0	0
Lomandra	0	0	0	0	0
Lycoris	1	1	0	0	1
Oncidium	0	0	0	0	0
Phormium	1	0	0	0	0
Polianthes	1	0	0	0	1
Scadoxus	1	0	0	0	0
Trichopetalum	0	0	0	0	0
Triteleia	0	0	0	0	0
Xanthorrhoea	0	0	0	0	0
Antennaria	0	0	0	0	0
Artemisia	1	1	1	1	1
Dahlia	0	0	0	1	1
Diaspasis	0	0	0	0	0
Helianthus	1	1	1	1	1
Nymphoides	1	0	1	0	0
Platycodon	1	0	0	1	1
Senecio	0	0	0	0	0
Tragopogon	1	0	0	1	1
Austrobaileya	0	0	0	0	0
Ehretia	1	1	0	0	0
Arabidopsis	0	0	0	1	1
Arabis	0	0	0	0	1
Brassica	1	0	0	1	1
Carica	1	1	1	1	1
Chorispora	0	0	0	0	0
Conringia	0	0	0	0	0
Lepidium	0	0	0	0	0
Nasturtium	1	0	0	1	1
Salvadora	0	0	0	0	0
Tarenaya	0	0	0	0	0
Cinnamodendron	0	0	0	0	0
Takhtajania	0	0	0	0	0
Amaranthus	0	0	0	0	0
Beta	1	0	0	0	1
Chenopodium	1	0	0	1	1
Ercilla	0	0	0	0	0
Fallopia	1	0	0	0	0
Halophytum	0	0	0	0	0
Limonium	1	0	0	0	0
Persicaria	1	0	0	0	1
Reynoutria	1	0	0	0	1
Rheum	1	0	0	1	1
Rumex	1	0	0	0	1
Sarcobatus	0	0	0	0	0
Silene	1	0	0	0	1
Triphyophyllum	1	1	0	0	0
Canotia	0	0	0	0	0
