	PlantAssocRich	PlantPathRich	AniPathRich	SaproRich	LichenRich	MiscFungRich	MycoRich	CropRich	PlantRich	AntiFungRich	DietRich
X06USA2	0	0	6	2	1	1	10	19	81	31	94
X06MRA	1	6	9	16	6	3	41	29	137	49	155
X06BTG	2	10	14	12	4	11	53	31	164	48	219
X07MRA	2	3	7	9	2	0	23	34	172	61	213
X07MRK	3	9	9	18	6	7	52	38	188	63	251
X07OUTB	2	8	19	18	2	2	51	28	154	50	207
X07OUTF	0	3	10	7	0	2	22	27	128	42	158
X07OUTK	5	12	15	16	3	10	61	35	198	66	264
X07OUTM	4	22	23	22	11	19	101	38	184	62	285
X07OUTP	0	3	8	7	1	1	20	29	140	45	166
X07OUTX	1	8	5	10	2	0	26	16	97	30	153
X07MRE	2	3	14	7	3	4	33	33	144	52	177
X07MRF	3	10	19	20	3	13	68	37	166	64	223
X07MRG	1	1	11	9	0	7	29	21	62	28	75
X07BTE	0	2	15	5	2	3	27	25	136	43	169
X07BTI	3	10	12	18	3	5	51	23	136	40	170
X07OUTJ	2	10	18	10	1	5	46	30	107	37	161
X07BTK	1	4	9	6	0	3	23	20	64	24	93
X07USB3	0	0	3	2	0	0	5	13	52	20	63
X07USE	0	2	4	2	0	0	8	11	63	22	68
X07BBB	0	4	10	9	0	7	30	19	72	27	77
X07BBC	1	7	14	10	0	6	38	13	52	17	63
X07BBD	2	4	19	12	0	10	47	24	99	33	114
X07BBE	1	2	12	4	0	2	21	17	78	26	82
X07BBG	1	2	20	13	0	8	44	19	77	28	86
X07BBI	1	1	18	11	0	4	35	15	56	20	58
X07BBJ	0	3	15	13	1	5	37	12	48	19	55
X07USG	0	0	3	5	1	0	9	18	68	28	80
X07APA	3	6	15	12	1	9	46	21	82	32	116
X07APB	0	1	15	9	0	7	32	15	70	26	90
X07APC	2	0	11	6	0	5	24	14	68	23	83
X07LPA	2	9	15	8	2	10	46	26	107	45	143
X07LPB	2	16	24	18	5	15	80	23	137	49	194
X07LPC	1	15	25	13	4	9	67	35	186	58	218
X07LPF	3	7	14	7	1	8	40	28	156	48	199
X07WWB	2	2	10	6	0	2	22	21	107	40	127
X07WWF	0	0	7	4	0	1	12	18	105	30	115
X0724USC	2	12	18	23	4	7	66	27	139	48	160
X07USF	0	2	9	3	0	1	15	15	44	21	56
X07USH	1	6	16	11	1	8	43	15	63	22	75
X08BTAA	0	3	11	13	2	6	35	26	125	41	143
X08BTA	0	8	17	12	2	6	45	17	67	27	79
X08BTF2	1	7	14	7	2	11	42	20	128	39	145
X0715USCA	5	17	21	24	8	18	93	30	144	52	202
X03BB	0	11	18	11	2	12	54	30	147	48	192
O4AP	2	7	14	12	2	10	47	27	125	42	151
X0415OUT2	3	8	12	14	4	12	53	34	163	57	218
X0416OUT2A	4	6	19	14	3	16	62	40	220	71	264
X0417OUT	1	4	9	14	2	2	32	23	127	41	151
X05BB	4	13	15	11	4	10	57	35	191	63	236
X06OUTD	1	2	4	3	0	1	11	13	46	17	61
X0712BTA	0	6	12	8	0	3	29	16	62	20	74
X0713BTA	4	17	19	19	6	13	78	28	147	44	185
X0715BTA	3	5	14	8	0	5	35	25	112	37	124
X07BBA	5	12	17	20	6	19	79	24	137	40	205
X0718BBJ	2	6	15	9	1	8	41	22	90	31	127
X07BBL	0	5	11	8	0	8	32	27	145	50	216
X07LPE	12	24	24	43	6	21	130	1	19	6	30
X07USA	0	2	7	8	3	9	29	23	120	41	142
X07WWA	0	2	6	6	0	2	16	10	61	21	65
X07WWE	5	14	24	18	4	13	78	31	166	54	202
X08BTU	2	10	24	12	1	12	61	31	175	54	202
X08BTY	2	10	20	10	1	12	55	22	104	38	138
